claim_id,status,superseded_by,claim,value,unit,근거_스크립트,데이터_스냅샷,기간,최종검증일,문서_위치,비고,재현가능성,탐지패턴,현행사실
C-010,active,,B/P IC HAC t,3.34,t,mini_factor_adj.py,조정본,2015-2026,2026-07-27,백서 · 대시보드,,,,
C-011,active,,E/P IC HAC t,2.36,t,mini_factor_adj.py,조정본,2015-2026,2026-07-27,백서 · 대시보드,,,,
C-012,active,,왕복 거래비용,0.48,%,forward_동결사양서_v1,-,-,2026-07-27,백서 · 사양서,,,,
C-013,active,,2014 이전 데이터 커버리지,21,%,수집기 런북,KRX 조정 소스,~2014,2026-07-27,대시보드 · 백서,선택편향으로 백테 제외 근거,,,
C-014,active,,KOSPI 그라운드트루스 불일치,0,건,검증 스크립트,조정본,-,2026-07-27,대시보드,380에서 0으로,,,
C-015,active,,KOSDAQ 잔여 CA 진성 비율,93,%,검증 스크립트,조정본,-,2026-07-27,세션정리,caveat 유지,,,
C-016,retired,,크기 수치는 잠정치,-,-,-,미조정 월봉,-,2026-07-27,백서 26% 🚨미수정,수정주가 확인 완료로 사실 아님,,잠정치,수정주가 재수집 완료 → 2015~2026 조정본 확정 (롱숏 크기만. 전략 CAGR은 R2 미완)
C-017,active,,forward 보유종목/유니버스,30/300,종목,forward_signal.py,-,-,2026-07-27,사양서,top300 대형에서 top30 동일가중,,,
C-019,invalidated,,TOP30_고정 베이스라인 CAGR,19.8,%/yr,유니버스_규칙화_검정.py,30년 상폐포함 미조정,1996-2026(329M),2026-07-23,7-23 판정문,룩어헤드 편향으로 무효. 교정 시 4.9%,reproducible_but_biased,19\.8\s*%,
C-020,invalidated,,유니버스 규칙화 게이트 판정,3/4,게이트,유니버스_규칙화_검정.py,30년 상폐포함 미조정,1996-2026,2026-07-23,7-23 판정문,오염 수치 기반 판정이므로 무효. 교정 후 재판정 필요,reproducible_but_biased,3/4\s*\(조건부,
C-021,active,,리더셋 연 교체율,42,%,유니버스_리더십로테이션.py,30년 상폐포함,1996-2026,2026-07-23,7-23 판정문 · 대시보드,,reproducible,,
C-022,active,,시총 룩어헤드 교정 후 TOP30_고정,4.9,%/yr,(재현) mcap.shift(1),_월봉종가캐시_KOSPI + 종목시총_30년,1996-2026,2026-07-27,중대결함 보고서,KOSPI 전용·방어 미적용 근사,reproducible,,
C-023,active,,시총 룩어헤드 교정 후 동적리더십 무방어,7.8,%/yr,(재현) mcap.shift(1),동상,1996-2026,2026-07-27,중대결함 보고서,베이스라인 대비 +2.9%p. MDD -73.6%로 악화,reproducible,,
C-024,resolved,,mini_*.py lag 버그 유무,,,mini_universe_adj/leader_rule/factor_adj/pbo_dsr.py,,2015-2026,2026-07-27,,✅ 버그 없음. ret=pct_change().shift(-1) forward 수익 사용. 오전 결과 이 축으로는 무사,,,
C-025,active,,시총 파일 결측월 (12월 체계적 누락),10.9,%,(직접확인) 종목시총_30년.csv,종목시총_30년.csv,2015-2026,2026-07-27,,138개월 중 15개월 결측. 37개 결측월 중 30개가 12월. 코드가 0% 수익 처리 | mini_leader_rule/pbo_dsr는 패널월 기준이라 무영향. mini_universe_adj만 영향 가능,reproducible,,
C-026,resolved,,멀티팩터 8.1% vs 시총근사 6.7% 비교,,,mini_leader_rule.py,2015~조정본,2015-2026,2026-07-27,백서 80%,✅ 기각. 패널월(123) ⊆ 시총월이라 결측 0%처리 미발생. 결측 15개월은 백테에서 제외(분모도 축소),reproducible_but_biased,,
C-027,resolved,,mini_style_panel.csv 재무데이터 PIT 시차,,,mini_style_panel.csv,,,2026-07-27,,✅ 정상. roe/g1 변경이 4-5월 집중(88%/76%)=연간 재무 3월말 공시 후 반영. ep/div/bp 매월변동=주가분모 당연,reproducible,,
C-028,active,,비용 모델 불일치,,,강화키트 vs mini_* vs forward사양서,,,2026-07-27,,turn×0.003 / turn×0.001 / 왕복0.48% 3종 병존. 통일 필요,reproducible,,
C-029,active,,스타일패널 생존편향 없음,59.3,%,(직접확인) mini_style_panel.csv,mini_style_panel.csv,2006-2026,2026-07-27,,"691종목 중 410개(59.3%) 중도이탈, 상폐 확인 115건",reproducible,,
C-030,active,,재무데이터 PIT 시차 정상,,,(직접확인) mini_style_panel.csv,동상,2006-2026,2026-07-27,,roe 변경 4-5월 88% 집중 = 연간재무 3월말 공시 후 반영. 분기 미사용(보수적),reproducible,,
C-031,retired,C-035,기계 재현 시 연 17~20%·Sharpe 0.8대,17~20,%/yr,유니버스_규칙화_검정.py,미조정 30년,1996-2026,2026-07-27,경영요약,룩어헤드·시총12월결측·조정본붕괴 3중 결함 위. 폐기.,불가,17~20%|Sharpe\s*0\.8대,복원본 30년 4.1~8.6%
C-032,retired,C-035,KOSPI를 크게 앞섭니다,0,qual,유니버스_규칙화_검정.py,미조정 30년,1996-2026,2026-07-27,경영요약,운용 N(8~15종)에서 지수 미달·초과확률 46~57%,불가,크게 앞섭,N=15 7.1% vs KOSPI 7.7% (미달)
C-033,retired,C-036,운용 가중 = 리스크 1% 사이징,1.0,%,risk_manager.py,진우_통합한도.json,2026,2026-07-27,부록 B-1c,재량(위성) 트랙 규칙을 본체 규칙으로 오기. 본체는 동일가중+캡.,가능,가중\s*\|\s*동일가중\s*\|\s*\*\*리스크 1% 사이징,본체=동일가중→종목캡15%→섹터캡35%→정규화
C-034,retired,,GP는 회전세금 때문에 죽는다,0,qual,GP_보유기간_백테.py,미조정,2016-2026,2026-07-27,부록 B-1b,mcap 룩어헤드 교정 후 gross조차 EW 미달 — 비용이 아니라 신호 부재,가능,회전세금 사망,gross-EW −3.2~−3.7%p (신호 없음)
C-035,active,,복원본 30년 롱온리 (동적+방어50%),8.6,%/yr,롱온리_재산출.py,_full 복원본,1996-01~2026-06,2026-07-27,부록 B-1h,"N=30 기준. 기준비용 0.559%. KOSPI(PR) 7.7% 대비 +0.9%p, 보수시나리오선 −1.8%p",가능,,
C-036,active,,운용 N(15종) 성과,7.1,%/yr,운용사양_백테.py,_full 복원본,1996-01~2026-06,2026-07-27,부록 B-1i,KOSPI 7.7% 미달. 블록부트스트랩 초과확률 46%. 신뢰구간 −1.5~16.5%,가능,,
