date	내용
2021-03-17	폭스바겐 전기차 배터리 내재화 및 각형 배터리 확대 소식 여파 지속 등에 하락
2021-03-22	현대차그룹 전기차 배터리 자체 생산 검토 소식에 하락
2021-04-01	바이든 美 대통령, 전기차 인프라 개발 계획 발표 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-04-07	2차전지 업황 회복 기대감 등에 일부 관련주 상승(주도주 : SK이노베이션, 삼성SDI)
2021-04-12	LG화학-SK이노베이션 배터리 분쟁 합의 소식에 상승(주도주 : SK이노베이션)
2021-04-13	LG-SK 배터리 분쟁 합의 모멘텀 지속 및 美리비안, 삼성SDI 배터리 사용 소식 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-04-28	美 포드 배터리 자체 개발 선언 등에 하락
2021-04-29	LG화학-삼성SDI 1분기 실적 호조 등에 상승(주도주 : LG화학, SK이노베이션)
2021-05-03	공매도 부분 재개 속 하락
2021-05-04	실적 기대감 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-05-14	현대차그룹, 美 전기차 생산 투자 소식에 상승(주도주 : SK이노베이션, 삼성SDI)
2021-05-31	모건스탠리, 삼성SDI 투자의견 하향 조정 소식에 하락
2021-06-11	애플, BMW 전기차 개발 주도 고위임원 영입 및 삼성SDI-美 로즈타운모터스 배터리 공급 계약 체결 소식 등에 상승(주도주 : LG화학, 삼성SDI)
2021-06-15	K-배터리 3사, 비중국 글로벌 시장 톱5 유지 소식 속 일부 관련주 상승(주도주 : SK이노베이션, 삼성SDI)
2021-06-30	韓 배터리 3사, 글로벌 전기차 탑재량 TOP10 수성 및 세 자릿수 성장 소식에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-07-09	K-배터리 발전 전략 발표 등에 일부 관련주 상승(주도주 : SK이노베이션)
2021-07-13	테슬라 강세 및 상반기 전기차 판매량 증가 소식 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2021-07-27	테슬라 분기 사상 첫 순이익 10억달러 돌파 및 삼성SDI 2분기 호실적 발표 등에 상승(주도주 : 삼성SDI, LG화학)
2021-08-05	美 자동차 업체 2030년 전기차 비중 최대 50% 목표 계획 발표 예정 소식에 상승(주도주 : 삼성SDI)
2021-08-09	美 전기차 확대 정책 모멘텀 지속 속 애플카 실무진 최근 방한 소식 등에 상승(주도주 : LG화학, 삼성SDI)
2021-08-12	美 전기차업체 리비안 텍사스 공장 설립 추진 소식 및 국내 배터리 업체 해외 진출 가속화 등에 상승(주도주 : LG화학, 삼성SDI)
2021-08-13	국내 배터리 3사, 글로벌 완성차 업체와 협력 기대감 지속 등에 상승(주도주 : LG화학, SK이노베이션)
2021-08-31	전기차 보급 및 충전 인프라 확대 기대감 지속 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2021-09-06	하반기 실적 추정치 상향 조정 전망 등에 상승(주도주 : LG화학, 삼성SDI)
2021-09-07	현대차 2045년 탄소중립 실현 목표 등 글로벌 완성차 업계 전기차 전환 가속화 기대감 등에 상승(주도주 : LG화학, 삼성SDI)
2021-09-27	SK그룹, 美 배터리 투자 규모 확대 추진 소식 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-10-13	3분기 글로벌 전기차 판매량 호조 전망 등에 상승(주도주 : LG화학, 삼성SDI)
2021-10-19	지난밤 테슬라 상승 및 삼성SDI, 美 스텔란티스와 전기차 배터리 협력 MOU 체결 소식 등에 상승(주도주 : 삼성SDI)
2021-11-02	테슬라 주가 1,200달러 돌파 소식 및 삼성SDI 호실적 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2021-11-10	머스크 대규모 지분 매각 가능성 시사 등에 따른 테슬라 주가 급락 여파 속 하락
2021-11-11	美 리비안 성공적 상장 및 테슬라 주가 반등 등에 일부 관련주 상승(주도주 : LG화학, 삼성SDI)
2021-11-12	美中 기후 공동선언 발표 및 리비안 주가 급등세 지속 등에 상승(주도주 : LG화학, SK이노베이션)
2021-11-18	10월 친환경차 내수/수출 판매 호조 등에 일부 관련주 상승(주도주 : LG화학)
2021-12-08	테슬라 목표가 상향 및 LG에너지솔루션 증권신고서 제출 소식 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-12-14	테슬라 시총 1조 달러 붕괴 속 투심 악화 등에 하락
2021-12-20	리비안 등 글로벌 주요 전기차업체 주가 약세 등에 하락
2021-12-21	美 전기차 업체 주가 급락 등에 하락
2021-12-23	美 테슬라 1,000달러 회복 등에 상승(주도주 : SK이노베이션, 삼성SDI, LG화학)
2021-12-24	현대차, 전기차 등 미래차 중심 재편 소식 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2021-12-28	美 전기차업체 주가 강세 및 내년 전기차 보급 확대 기대감 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2022-01-04	테슬라 주가 급등 등에 상승(주도주 : LG화학, SK이노베이션)
2022-01-12	LG에너지솔루션 상장 기대감 및 애플 실무진 애플카 관련 국내 부품업체 미팅 소식 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2022-01-13	LG에너지솔루션 기관 수요예측, '1경'원 이상 주문액 기록 소식에 상승(주도주 : SK이노베이션, 삼성SDI)
2022-01-18	LG에너지솔루션 IPO 흥행 기대감 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2022-01-27	LG에너지솔루션 신규상장 첫날 급락 속 하락
2022-02-03	12월 글로벌 전기차 판매량 증가 등에 상승(주도주 : SK이노베이션, LG에너지솔루션)
2022-02-16	테슬라 등 美 전기차 업체 주가 강세 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-02-24	美 전기차 업체 주가 약세 등에 하락
2022-02-25	러시아의 우크라이나 침공 소식 속 에너지 공급 불안 수혜 기대감 및 美 전기차 업체 주가 반등 등에 상승(주도주 : 삼성SDI, SK이노베이션, LG에너지솔루션)
2022-03-02	美 전기차 시장 확대 본격화 기대감 및 현대차, 중장기 전기차 전략 발표 등에 상승(주도주 : LG에너지솔루션, SK이노베이션)
2022-03-08	美 전기차 업체 주가 급락, 2차전지 핵심원재료 가격 급등 영향 등에 하락
2022-03-10	배터리 산업 성장세 지속 및 美 전기차 부양책 수혜 전망에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-03-17	美 금리인상 불확실성 해소 및 우크라이나 협상 진전 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-03-22	LG에너지솔루션, 니콜라 공급용 美 배터리 공장 건설 추진 소식에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-03-23	테슬라 등 美 전기차 업체 주가 강세 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-03-29	美 전기차 업체 테슬라 주가 강세 등에 상승(주도주 : 삼성SDI, LG에너지솔루션)
2022-04-01	테슬라 中 상하이 공장 생산 재개 연기 및 美 전기차 업체 주가 부진 등에 하락
2022-04-05	美 전기차 업체 테슬라 주가 강세 및 지난해 전기차 판매 급증 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-04-06	美 전기차 업체 주가 약세 및 美 규제당국, LG에너지솔루션 전기차 배터리 조사 착수 소식에 하락
2022-04-08	LG에너지솔루션 1분기 실적 호조 속 업종 전반에 대한 호실적 기대감 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-04-12	테슬라, 상하이 공장 중단 장기화 소식 등에 하락
2022-04-13	현대차, 美 앨라배마 공장 전기차 라인 증설 3억달러 투자 소식에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-04-19	테슬라, 中 상하이 공장 재가동 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-04-21	테슬라 1분기 호실적 발표 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-04-27	美 전기차 업체 주가 급락 등에 하락
2022-05-09	美 전기차 업체 주가 약세 및 포드·JP모건, 리비안 주식 블록딜 예정 소식 등에 하락
2022-05-10	美 전기차 업체 주가 급락 등에 하락
2022-05-13	현대차, 바이든 방한중 70억불 전기차공장 대미투자 발표 예정 및 美 전기차 업체 리비안 급등 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-05-18	美 전기차 업체 주가 강세 및 현대차·기아, 국내 전기차 21조원 투자 소식 등에 일부 관련주 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-05-20	바이든 美 대통령 방한을 앞두고 신재생에너지 협력 확대 기대감 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-06-07	국내 전기차 고속도로 요금소 충돌사고에 따른 전소 소식 속 하락
2022-06-15	英, 전기차 보조금 폐지 소식 등에 하락
2022-06-16	美 전기차 업체 주가 강세 및 삼성전자·삼성SDI, '전기차 공동 개발' TF 발족 소식에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-06-17	삼성SDI, 테슬라 규격 원통형 배터리 생산 예정 소식에 일부 관련주 상승(주도주 : SK이노베이션, 삼성SDI)
2022-06-27	블룸버그 통신, 현대차 美 전기차 시장 지배 평가 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-06-29	LG에너지솔루션, 1.7조원 규모 美 단독공장 건설 전면 재검토 소식 및 美 전기차 업체 주가 약세 등에 하락
2022-07-04	한-중 전기차 배터리 점유율 차이 확대 소식 등에 일부 관련주 하락
2022-07-07	국내 배터리 업체 시장 경쟁력 강화 행보 및 원통형 배터리 채택 증가 등에 상승(주도주 : 삼성SDI)
2022-07-20	美 옐런 재무부 장관, LG화학 방문 속 한·미 배터리 동맹 강화 기대감 등에 상승(주도주 : 삼성SDI)
2022-07-21	테슬라 순이익 호조 영향 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-07-25	美 조지아주, 현대차 전기차 공장 감세 등 18억 달러 규모 지원 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션)
2022-07-29	美 전기차 보조금 확대 가시화 등에 상승(주도주 : LG에너지솔루션, SK이노베이션)
2022-08-03	中 CATL, 대미투자 계획 보류 소식 속 반사 수혜 기대감 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-08-05	美 의회, 中 배터리로 만든 전기차 금융지원 중단 입장 표명 소식 등에 상승(주도주 : 삼성SDI)
2022-08-09	美, 중국산 배터리 보조금 제외 속 반사이익 기대감에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-08-16	美 인플레이션 감축법안(IRA) 입법화를 앞두고 수혜 기대감에 상승(주도주 : SK이노베이션, 삼성SDI)
2022-08-24	북미 내 국내 배터리 업체 입지 확대 전망 등에 상승(주도주 : LG에너지솔루션, SK이노베이션)
2022-08-30	LG엔솔-혼다, 美 배터리 합작법인 설립 계약 체결 등에 상승(주도주 : LG에너지솔루션)
2022-09-08	한국, 전기차 수출 세계 4위 소식 등에 상승(주도주 : 삼성SDI, SK이노베이션)
2022-09-20	美 전기차 업체 테슬라, 독일 내 판매 호조 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2022-09-23	美 전기차 업체 주가 급락 및 테슬라 리콜 소식 등에 하락
2022-09-26	연준 고강도 긴축 우려 및 경기 침체 우려 지속 등에 하락
2022-09-29	전기차 생산 규모 확대를 통한 자동차 산업 글로벌 3강 전략 추진 소식 등에 일부 관련주 상승(주도주 : LG에너지솔루션)
2022-09-30	테슬라 등 美 전기차 업체 주가 약세 등에 하락
2022-10-06	美 IRA 법안 수혜 기대감 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-10-17	美 IRA 세액공제 혜택 기대감 지속 및 LG에너지솔루션, 도요타 배터리 공급 협상 진행 소식 등에 일부 관련주 소폭 상승(주도주 : LG에너지솔루션)
2022-10-20	테슬라 3분기 매출액 시장 전망치 하회 등에 하락
2022-10-21	삼성SDI-에코프로비엠, 세계 최대 규모 양극재 공장 CAM7 준공식 개최 속 일부 관련주 상승(주도주 : 삼성SDI)
2022-10-24	글로벌 자동차업체, 전기차 생산 위해 1조,2000억 달러 투자 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-10-26	국내 배터리업계 호실적 달성 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2022-10-27	국내 배터리업계 호실적 지속 전망 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-11-01	국내 전기차 판매 비중 역대 최대 달성 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-11-03	정부 지원 기대감 및 글로벌 전기차 배터리 사용량 증가 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-11-14	美 민주당 상원 다수당 유지 확정 및 삼성SDI, GM·볼보와 전기차 배터리 합작사 설립 추진 소식 등에 일부 관련주 상승(주도주 : 삼성SDI)
2022-11-22	美 전기차 관련주 급락 영향 등에 하락
2022-11-23	尹 대통령, 테슬라에 투자 요청 소식 등에 상승(주도주 : 삼성SDI, SK이노베이션)
2022-11-24	씨티, 테슬라 투자의견 상향 및 美 주요 전기차 업체 주가 상승 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2022-11-25	Tesla 기가팩토리 한국 증설 긍정적 분석 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2022-12-08	테슬라 수요 둔화 우려 지속 등에 하락
2022-12-13	테슬라 등 美 전기차 업체 주가 약세 등에 하락
2022-12-14	2차전지 장기 성장성 불변 분석 등에 상승(주도주 : 삼성SDI)
2022-12-15	테슬라 등 美 전기차 업체 주가 약세 등에 하락
2022-12-21	美 테슬라 주가 급락 여파 등에 하락
2022-12-23	테슬라 주가 하락 속 전기차 수요 둔화 우려 등에 하락
2022-12-28	테슬라, 中 생산량 감소 우려 속 주가 급락 여파 등에 하락
2023-01-02	美 상업용 전기차 보조금 혜택 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-01-03	테슬라 4분기 인도량 시장예상치 하회 소식 등에 일부 관련주 하락
2023-01-06	美 IRA 완화 및 정부 세액공제 수혜 기대감 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-01-09	북미지역 전기차 시장 성장 기대감 속 국내 셀3사 점유율 상승 전망 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-01-10	LG에너지솔루션, 포드와 합작공장 논의 소식 등에 일부 관련주 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-01-11	삼성SDI, BMW와 헝가리 배터리 합작 공장 검토 소식 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2023-01-12	테슬라, 텍사스 오스틴 공장 증설 소식 등에 일부 관련주 상승(주도주 : SK이노베이션)
2023-01-20	尹 대통령, 韓 반도체·2차전지 글로벌 공급망 핵심 파트너 언급 속 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-01-25	테슬라, 설 연휴 급등 및 네바다주 공장 증설 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-01-26	테슬라 예상외 호실적 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-01-27	테슬라 주가 급등 영향 등에 일부 관련주 상승(주도주 : SK이노베이션, 삼성SDI)
2023-02-01	GM 지난해 4분기 호실적 및 전기차 인하 경쟁 미동참 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-02-07	美 웨드부시, 테슬라 목표주가 상향 조정 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-02-09	테슬라 주가, 3개월만에 200달러 회복 소식 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2023-02-16	尹 대통령, 일론 머스크와 면담 추진 소식 및 美 전기차 업체 주가 강세 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-02-21	2차전지 시장 성장 기대감 등에 상승(주도주 : SK이노베이션)
2023-02-22	美 주요 전기차 업체 주가 하락 및 2차전지 밸류체인 보수적인 대응 유효 분석 등에 하락
2023-02-28	테슬라 주가 상승 및 테슬라데이 기대감 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-03-02	2차전지 4대 핵심소재 시장 2030년 192조원 규모로 성장 전망 등에 상승(주도주 : SK이노베이션)
2023-03-03	美 증시 상승 속 반발매수세 유입 및 정부의 2차전지·전기차 신산업 규제 완화 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-03-06	삼성SDI, GM과 합작공장 설립 예정 소식 등에 상승(주도주 : 삼성SDI, SK이노베이션)
2023-03-07	국내 배터리 3사 전기차용 배터리 점유율 확대 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-03-09	美 고속도로교통안전청(NHTSA), 테슬라 모델Y 차량 사고 조사 착수 소식 등에 하락
2023-03-13	테슬라, 배터리 수급 목적 한·중·일 업체와 협업 확대 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-03-15	폭스바겐, 전기차 배터리 등에 1,930억 달러 투자 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-03-16	포스코케미칼, 대규모 양극재 납품 계약 체결 가능성 및 유럽 CRMA 발표 기대감 등에 일부 관련주 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-03-17	유럽 핵심원자재법(CRMA) 초안 공개 속 차익 실현 매물 등에 하락
2023-03-20	경쟁사 中 CATL 실적 호조 등에 하락
2023-03-22	美 주요 기술주 상승 및 테슬라 급등 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-03-23	尹 대통령 美 국빈방문 기대감 및 스텔란티스-삼성SDI 美 코코모시 배터리공장 건설 착수 소식 등에 일부 관련주 상승(주도주 : 삼성SDI)
2023-03-27	美 IRA 세액공제 규정 공개 예정 및 LG에너지솔루션, 美 배터리공장 투자 확대 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-03-29	美 IRA 세부안 발표 앞두고 국내 배터리 업체 수혜 기대감 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-04-03	美 IRA 불확실성 해소 등에 상승(주도주 : 삼성SDI)
2023-04-07	현대차 차세대 아이오닉 시리즈, 실리콘 10% 이상 음극재 배터리 탑재 소식, LG엔솔 1분기 실적 호조 등에 일부 관련주 상승(주도주 : SK이노베이션)
2023-04-10	美 2032년까지 전기차 신차비율 67%로 확대 계획 및 테슬라, 中 메가팩 생산공장 건설 계획 발표 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-04-12	에코프로 주가 과열 논란 속 하락
2023-04-18	삼성SDI, 6세대 각형 배터리 공개 예정 및 LG화학 1.2조원 투자 새만금 전구체 공장 건설 모멘텀 지속 등에 일부 관련주 상승(주도주 : 삼성SDI)
2023-04-20	테슬라 1분기 순이익 급감 소식 등에 하락
2023-04-21	테슬라, 1분기 부진한 실적에 따른 주가 급락 등에 하락
2023-04-24	中 업체 해외 진출에 따른 경쟁강도 심화 분석 등에 하락
2023-04-25	이복현 금감원장, 2차전지 등 이상과열에 따른 불공정거래 혐의 조사 착수 소식 등에 하락
2023-04-27	尹 대통령, 일론 머스크 테슬라 CEO 접견 소식 및 주요 기업 실적 호조 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-05-08	2030년까지 K-배터리 수출 연평균 33% 성장 분석 등에 일부 관련주 상승(주도주 : SK이노베이션)
2023-05-11	이동채 전 에코프로 회장 법정 구속 속 투자심리 위축 등에 하락
2023-05-15	고평가 이슈, 증권사 목표주가 하향 등 잇따른 악재 지속 등에 하락
2023-05-17	테슬라, 사이버트럭 연말 고객 인도 계획 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-05-19	2차전지 유럽시장 중국에 역전 우려, 글로벌 전기차 시장 성장 속도 둔화 전망 등에 하락
2023-05-22	K-배터리 1분기 R&D·시설투자 역대 최대 소식 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-05-23	테슬라, 리비안 등 美 주요 전기차 업체 강세 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-05-30	그린산업 사상 최대 호황기 진입 전망 및 美 부채한도 협상에 따른 IRA 친환경 관련 법안 예산 불확실성 해소 분석 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2023-05-31	일론 머스크 테슬라 CEO 中 방문, 美 테슬라 주가 상승 등에 일부 관련주 상승(주도주 : LG에너지솔루션)
2023-06-01	美 부채한도 협상 우려 해소 및 리튬 가격 반등 영향 등에 일부 관련주 상승(주도주 : SK이노베이션)
2023-06-02	부채한도 상향 합의안 美 상원 통과 소식 및 글로벌 전기차/배터리 수요 증가 전망 등에 상승(주도주 : SK이노베이션)
2023-06-07	올 1~4월 세계 전기차 인도량 급증 소식 및 테슬라 주가 상승세 지속 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-06-09	사이버트럭 기대감, 스페인 투자 논의 소식 등으로 테슬라 주가 10거래일 연속 상승 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-06-12	테슬라發 훈풍 및 현대차그룹 7.8조 자본 리쇼어링, 전기차 투자 확대 소식 등에 소폭 상승(주도주 : LG에너지솔루션, 삼성SDI)
2023-06-14	美 정부, 中 고션(Gotion)의 미시간주 배터리 소재 공장 건축 승인 소식 등에 하락
2023-06-27	골드만삭스의 투자의견 하향에 따른 테슬라 약세 등에 하락
2023-06-29	美 주요 전기차 업체 상승 등에 일부 관련주 상승(주도주 : 삼성SDI)
2023-07-03	테슬라 인도 차량 대수 급증 소식 등에 상승(주도주 : LG에너지솔루션, 삼성SDI, SK이노베이션)
2023-07-18	테슬라發 훈풍 지속 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-07-24	리튬이온배터리 시장 확대 기대감 지속, 삼성SDI-스텔란티스 美 합작 2공장 건설 MOU 체결 등에 상승(주도주 : LG에너지솔루션, SK이노베이션, 삼성SDI)
2023-07-25	테슬라 주가 반등 및 포스코 그룹, 2차전지 밸류체인 구축 기대감 지속 등에 일부 관련주 상승(주도주 : SK이노베이션)
2023-07-26	2차전지주 과열 경고 및 큰 변동성 속에 하락
2023-07-27	2차전지 과열 논란 지속, 에코프로비엠·에코프로 급락 등에 하락
