date	내용
2018-05-09	삼성바이오로직스 분식회계 유보 발언 및 셀트리온 실적 호조 등으로 강세(주도주 : 셀트리온, 삼성바이오로직스, 셀트리온헬스케어)
2018-05-15	MSCI 편입 바이오주 효과 및 ASCO 기대감에 일부 관련주 상승(주도주 : 셀트리온헬스케어, 삼성바이오로직스, 셀트리온)
2018-05-24	바이오시밀러 업종 투자 대안 부각 전망 등에 상승(주도주 : 셀트리온, 셀트리온제약, 삼성바이오로직스)
2018-05-25	北-美 정상회담 취소 속 바이오 투자심리 회복 등으로 상승(주도주 : 셀트리온, 한올바이오파마, 삼성바이오로직스, 셀트리온헬스케어)
2018-05-29	에이치엘비 악성 루머 영향 속 하락
2018-06-04	삼성바이오로직스 분식회계 의혹 불확실성 등에 하락
2018-06-19	증권선물위원회 2차 정례회의를 하루 앞두고 삼성바이오로직스 약세 속 하락
2018-06-20	증선위 2차 정례회의가 개최된 가운데, 삼성바이오로직스 급등 속 상승(주도주 : 삼성바이오로직스, 이수앱지스, 셀트리온헬스케어)
2018-06-22	증선위, 금감원에 삼성바이오로직스 회계감리 조치안 일부 보완 요구 속에 상승(주도주 : 대웅제약, 삼성바이오로직스, 한미약품, 셀트리온제약)
2018-07-09	美제약 섹터 강세 등에 상승(주도주 : 한올바이오파마, 알테오젠, 삼성바이오로직스)
2018-07-23	네이처셀 주가 조작 논란 및 신라젠 임상 중단 루머 여파 지속 등으로 바이오주 급락
2018-07-25	제약/바이오 기업 관련 테마감리 우려 확산 등으로 약세
2018-07-26	정부, 2조원 규모 바이오기업 신약개발 지원사업 추진 소식에 상승(주도주 : 이수앱지스, 바이넥스, 셀루메드)
2018-08-03	삼성바이오로직스, 금감원 재감리 사실상 포기 소식 속 상승(주도주 : 대웅제약, LG화학, 팬젠, 삼성바이오로직스)
2018-08-07	삼성 이재용 부회장, 바이오산업 관련 규제 완화 요청에 상승(주도주 : 에이프로젠제약, 바이넥스, 삼성바이오로직스, 셀루메드)
2018-08-08	삼성그룹 180조 투자 소식에 일부 관련주 상승(주도주 : 에이프로젠제약, 팬젠, 삼성바이오로직스)
2018-08-13	주요 기업에 대한 골드만삭스 매도 레포트에 동반 하락
2018-08-16	금감원, 삼성바이오로직스 재감리 소식에 하락
2018-08-21	R&D 회계 이슈 해소 분석 등으로 강세(주도주 : 이수앱지스, 바이넥스, 알테오젠, 셀트리온헬스케어)
2018-08-31	연구개발비 회계처리 감리 우려 완화에 상승(주도주 : 셀트리온제약, 녹십자, 삼성바이오로직스)
2018-09-04	회계 감리 우려 완화 속 투자심리 개선 등으로 상승(주도주 : 셀트리온, 셀트리온제약, 셀트리온헬스케어)
2018-09-17	회계이슈 불확실성 해소 및 산업 펀더멘털 개선 지속 등으로 일부 관련주 상승(주도주 : 셀트리온, 한미약품, 삼성바이오로직스)
2018-09-18	불확실성 완화 속 반등 지속 기대감 등으로 상승(주도주 : 한올바이오파마, 알테오젠, 삼성바이오로직스)
2018-09-20	연구개발비 회계처리 불확실성 해소에 일부 관련주 상승(주도주 : 녹십자, 한미약품, 삼성바이오로직스)
2018-10-02	동성제약 해외학술지 임상 관련 투고 논란 속 동반 하락
2018-10-12	증시 반등 속 저가 매수세 유입 등으로 상승(주도주 : 셀트리온, 셀트리온제약, 삼성바이오로직스)
2018-10-23	증시 폭락 속 셀트리온 블록딜 여파 등으로 약세
2018-10-31	증선위 삼성바이오로직스 재감리 안건 상정 심의 및 셀트리온헬스케어 실적 부진 전망 등으로 하락
2018-11-09	삼성바이오로직스 분식회계 재감리 불확실성 지속 등으로 하락
2018-11-13	삼성바이오로직스가 상장폐지될 가능성이 없다는 증권사 분석 등으로 상승(주도주 : 삼성바이오로직스, 한올바이오파마, 대웅제약)
2018-11-15	삼성바이오로직스 고의 분식회계에 따른 거래정지 속 상승(주도주 : 셀트리온헬스케어, 셀트리온, 셀트리온제약)
2018-11-20	연이은 기술수출 성공 속 투자심리 개선에 일부 제약/바이오 관련주 상승(주도주 : 팬젠, 이수앱지스)
2018-11-21	최종구 금융위원장, 제약/바이오기업 상장유지요건 특례 마련 발언 등에 일부 관련주 상승(주도주 : 동아에스티, 셀트리온헬스케어)
2018-12-11	셀트리온헬스케어 매출 인식에 대한 회계감리 착수 소식 속 하락
2019-01-04	JP모건 헬스케어 컨퍼런스 기대감 등으로 상승(주도주 : 셀트리온, 바이넥스, 셀트리온제약, 삼성바이오로직스, 셀트리온헬스케어)
2019-02-27	홍남기 경제부총리 겸 기획재정부 장관, 바이오헬스 중장기전략 4월 발표 발언 등에 상승(주도주 : 이수앱지스, 한올바이오파마, 셀루메드)
2019-03-04	바이오산업, 신약 모멘텀 기대감 등에 상승(주도주 : 바이넥스, 한올바이오파마, 팬젠)
2019-03-15	삼성바이오 특혜의혹 수사 등 잇단 악재 속 하락
2019-04-05	첨생법 국회 법사위 통과 보류 속 하락
2019-04-25	삼성바이오로직스, 실적 부진 및 분식회계 관련 삼성바이오에피스 임직원 구속영장 청구 여파 등에 하락
2019-05-22	바이오헬스 산업 혁신전략 발표에 제약/바이오 관련주 상승(주도주 : 알테오젠, 삼성바이오로직스)
2019-05-29	인보사 허가 취소 여파 등으로 하락
2019-06-27	에이치엘비, 리보세라닙 1차 OS 목표치 미달 소식 등에 약세
2019-06-28	에이치엘비 리보세라닙 글로벌 임상 3상 1차 OS 목표치 미달 여파 지속 등에 하락
2019-07-01	주가 하락 과도 분석 등에 상승(주도주 : 한미약품, 한올바이오파마, 알테오젠, 셀트리온헬스케어)
2019-07-04	한미약품 기술수출 반환 속 투자심리 악화 등에 하락
2019-07-09	제약·바이오株 잇따른 악재에 투자심리 위축 속 하락
2019-08-21	잇단 호재 속 투자심리 개선 등으로 상승(주도주 : 셀루메드, 한미약품, 바이넥스)
2019-10-01	에이치엘비發 호재 등에 따른 투자심리 개선에 강세(주도주 : 한올바이오파마, 셀트리온제약, 알테오젠, 셀트리온헬스케어)
2019-10-07	헬릭스미스發 호재 등에 따른 투자심리 개선에 강세(주도주 : 한올바이오파마, 바이넥스)
2019-10-17	금융당국, 제약·바이오업체 이상매매 집중 모니터링 소식에 일부 관련주 하락
2019-11-05	내년 본격적인 턴어라운드 기대감 등에 상승(주도주 : 셀루메드, 이수앱지스)
2019-12-23	JP모건 헬스케어 컨퍼런스 등 내년 주요 학회 일정을 앞두고 상승(주도주 : 셀트리온, 셀트리온제약, 삼성바이오로직스, 셀트리온헬스케어, 종근당)
2019-12-24	비보존 임상 3a상 실패 속 투자심리 악화 등에 하락
2019-12-26	저점 매수 시점 분석 등에 상승(주도주 : 셀트리온, 셀트리온제약, 알테오젠, 셀트리온헬스케어)
2020-01-07	신라젠 펙사벡, 신장암 임상 추가 승인 소식에 따른 투자심리 개선에 상승(주도주 : 셀트리온, 셀트리온제약, 알테오젠, 셀트리온헬스케어)
2020-03-05	美 헬스케어 관련주 강세 및 AACR 기대감 등에 상승(주도주 : 셀트리온, 이수앱지스, 한미약품, 한올바이오파마)
2020-03-11	잇따른 제약/바이오 국제학회 연기 소식에 하락
2020-08-03	지난해 바이오시밀러 품목 수출 급증 등에 상승(주도주 : 이수앱지스, 녹십자, 한미약품, 한올바이오파마, 바이넥스)
2020-08-05	한미약품 1조원대 기술수출 소식 등에 상승(주도주 : 한미약품, 녹십자, 팬젠)
2020-12-21	제약/바이오 수출·생산 실적 호조 소식에 상승(주도주 : 대웅제약, 셀트리온헬스케어, 종근당, 동아에스티, 셀트리온)
2020-12-29	대한민국 바이오투자 콘퍼런스 개최 속 투자심리 개선 등에 강세(주도주 : 셀트리온, 녹십자, 바이넥스, 알테오젠, 삼성바이오로직스, 셀트리온헬스케어)
2021-05-03	공매도 부분 재개 속 하락
2021-05-07	코로나19 백신 특허 면제 가능성 부각 속 수혜 기대감 등에 상승(주도주 : 셀트리온, 대웅제약, 셀트리온헬스케어, 셀트리온제약)
2021-06-10	홍남기, 세계 5대 신약개발 강국 도약 언급 소식 등에 상승(주도주 : 알테오젠, 팬젠, 프레스티지바이오로직스)
2021-08-02	지난해 의약품 무역수지 사상 첫 흑자 소식에 상승(주도주 : 이수앱지스, 셀트리온헬스케어, 셀트리온제약, 바이넥스)
2021-08-05	2025년까지 백신 생산 5대 강국 도약, 5년간 2.2조원 투입 소식 등에 상승(주도주 : 프레스티지바이오파마, 바이넥스, 녹십자)
2021-12-15	바이오산업 도약 발판 마련 및 구조적 성장 기대감, 삼성바이오로직스 모더나 제조 허가 모멘텀 지속 등에 상승(주도주 : 한올바이오파마, 대웅제약, 삼성바이오로직스)
2022-04-08	尹 당선인, 존슨앤존슨 CEO와 비공개 면담에서 한국 바이오산업 투자 당부 소식 등에 일부 관련주 상승(주도주 : 알테오젠, 녹십자, 한미약품, 에이프로젠제약)
2022-04-26	차기 윤석열 정부 바이오 산업 육성 기대감 등에 상승(주도주 : 셀트리온, 셀트리온헬스케어, 셀트리온제약)
2022-05-25	삼성전자, 바이오 투자 소식 및 하반기 제약/바이오 투자심리 개선 전망 등에 상승(주도주 : 셀트리온, 셀트리온헬스케어, 이수앱지스, 셀트리온제약)
2022-05-26	장영진 산업1차관, 바이오 기업 투자 적극 지원 및 대기업 바이오 투자 본격화 등에 일부 관련주 소폭 상승(주도주 : 삼성바이오로직스, 녹십자)
2022-06-23	경기 침체 국면에도 의약품 지출 증가 및 밸류에이션 부담 완화 분석 등에 일부 관련주 상승(주도주 : 알테오젠, 셀트리온, 이수앱지스)
2022-06-24	경기 방어적 성격 보유 분석 등에 상승(주도주 : 바이넥스, 셀트리온헬스케어, 한올바이오파마, 대웅제약)
2022-07-19	글로벌 바이오시밀러 시장 2031년까지 고성장세 지속 전망 등에 상승(주도주 : 동아에스티, 알테오젠, 파멥신, 바이넥스)
2022-08-05	하반기에도 주가 반등세 지속 전망 등에 상승(주도주 : 한미약품, 파멥신, 셀트리온제약, 셀트리온)
2022-09-08	주요 제약/바이오 학회를 앞둔 기대감 등에 상승(주도주 : 한미약품, 셀트리온, 셀트리온헬스케어)
2022-09-26	고환율에 따른 외국인 투자자 자금 이탈 가속화 우려 등에 하락
2022-09-29	바이오젠, 알츠하이머 임상 3상 시험 효능 입증 소식에 따른 美 주요 제약/바이오업체 상승 등에 상승(주도주 : 삼성바이오로직스, 이수앱지스)
2022-10-24	제약/바이오 산업, 지속 성장 기대감 등에 상승(주도주 : 파멥신, 대웅제약, 바이넥스, 이수앱지스)
2022-12-26	中 코로나19 감염자 폭증 속 감기약 사재기 현상 지속, JP모건 헬스케어 컨퍼런스 기대감 등에 제약/바이오주 관심 속 상승(주도주 : 셀트리온제약, 선바이오, 한올바이오파마)
2023-02-28	정부, 바이오헬스 육성 정책 발표 등에 상승(주도주 : 프레스티지바이오로직스, LG화학, 선바이오, 에이프로젠)
2023-03-13	SVB 폐쇄에 따른 바이오텍 투자심리 위축 우려 등에 하락
2023-03-17	바이오 학회 기대감 등에 상승(주도주 : 알테오젠, 셀트리온제약, 셀트리온헬스케어, 바이넥스)
2023-04-04	신약 기술수출 순항 및 바이오 시장 성장 전망, 바이오 학회 기대감 등에 상승(주도주 : 한미약품, 알테오젠, 파멥신, 프레스티지바이오로직스)
2023-04-05	시장 유동성 개선 기대감 속 바이오주 주가 회복 전망 등에 상승(주도주 : 한미약품, 알테오젠, 파멥신, 선바이오)
2023-04-11	제약사 R&D 투자 확대 및 바이오 학회 기대감 지속 등에 상승(주도주 : 파멥신, 선바이오, 셀트리온, 한올바이오파마)
2023-04-13	하반기 펀더멘탈 개선과 함께 본격적인 반등 전망 등에 상승(주도주 : 한미약품, 프레스티지바이오로직스, 프레스티지바이오파마, 한올바이오파마)
2023-04-14	제약/바이오 섹터 업황 개선 기대감 등에 상승(주도주 : 파멥신, 프레스티지바이오로직스, 에이프로젠, 선바이오)
2023-05-08	美임상종양학회(ASCO) 기대감 및 이재용 회장, 글로벌 제약사 CEO와 회동 소식 등에 일부 관련주 상승(주도주 : 바이넥스, 녹십자, 이수앱지스)
2023-05-17	하반기 업황 반등 전망 등에 상승(주도주 : 파멥신, 프레스티지바이오로직스, 한올바이오파마, 선바이오)
2023-05-22	ASCO 기대감 지속 및 하반기 우호적 환경 조성 기대감 등에 상승(주도주 : 프레스티지바이오파마, 바이넥스, 선바이오, 셀트리온제약)
2023-05-23	주요 감기약 역대 최대 매출 기록 소식 및 하반기 업황 반등 기대감 등에 상승(주도주 : 프레스티지바이오로직스, 한올바이오파마, 에이프로젠, LG화학)
2023-06-01	상위 5개 그룹 실적 성장 기대감 및 정부, 바이오 클러스터 조성 소식 등에 상승(주도주 : 한미약품, 한올바이오파마, 이수앱지스, 선바이오)
2023-06-29	지난해 국내 제약·바이오업계 기술 수출 규모 급감 소식 등에 하락
2023-06-30	글로벌 제약·바이오 M&A 회복 소식 등에 상승(주도주 : 프레스티지바이오로직스, 프레스티지바이오파마, 녹십자, 대웅제약)
2023-07-13	셀트리온 그룹 3사 합병 기대감 및 美 엔비디아, AI 신약 기업 투자 소식 등에 상승(주도주 : 알테오젠, 삼성바이오로직스, 셀트리온제약, LG화학)
2023-07-19	정부, 2030년까지 바이오경제 생산 및 수출 목표 제시 소식 등에 상승(주도주 : 한미약품, 프레스티지바이오파마, 에이프로젠, 한올바이오파마)
2023-07-21	코로나19 재확산세 및 정부, 바이오 정책 지원 기대감 지속 등에 상승(주도주 : 에이프로젠, 에이프로젠바이오로직스)
2023-07-28	제약·바이오 기업 2분기 실적 호조 및 주가부양 기대감 등에 상승(주도주 : 프레스티지바이오로직스, 프레스티지바이오파마, 에이프로젠, 선바이오)
2023-08-01	제약/바이오 업종 투자심리 개선 기대감 등에 상승(주도주 : 한미약품, 삼성바이오로직스, 보령)
2023-08-03	2차전지 수급 쏠림 완화 속 매수세 유입 및 K-바이오, 미국 시장 개척 소식 등에 상승(주도주 : 한미약품, 알테오젠, 삼성바이오로직스, 프레스티지바이오로직스, 셀트리온헬스케어)
2023-08-09	노보노디스크 비만치료제 위고비, 심혈관 질환 효과 소식 및 美 주요 제약업체 2분기 호실적 등에 상승(주도주 : 한미약품, 동아에스티, 팬젠, 에이프로젠, 에이프로젠바이오로직스)
2023-08-29	정부, 12대 국가전략기술에 내년 5조원 투자 소식 등에 상승(주도주 : 팬젠, 한올바이오파마, 셀트리온제약, 셀트리온헬스케어)
2023-09-06	비만 치료제 회사 노보 노디스크, 유럽 시총 1위 등극 소식 속 비만 치료제 시장 기대감 부각에 상승(주도주 : 파멥신, 팬젠, 이수앱지스, 선바이오)
2023-09-11	세계 폐암 학회 기대감 및 의료 AI 산업 성장 기대감 지속 등에 상승(주도주 : 종근당, 알테오젠, 한올바이오파마, 대웅제약)
2023-10-06	셀트리온 합병 순항 소식 및 일라이릴리 2025년 경구용 비만치료제 개발 목표 등에 제약/바이오 투자심리 개선 속 상승(주도주 : 한미약품, 알테오젠, 파멥신, 한올바이오파마)
2023-10-12	노보 노디스크 당뇨병 치료제 오젬픽 신부전 치료 관련 임상 성공적 소식 등에 상승(주도주 : 파멥신, 팬젠, 프레스티지바이오로직스, 보령)
2023-10-18	렉라자 병용요법 임상 결과 실망감 속 하락
2023-11-06	내년 6월까지 공매도 전면 금지 속 상승(주도주 : 종근당, LG화학, 한올바이오파마, 셀트리온제약)
2023-11-14	제약/바이오 섹터 반등 전망 등에 상승(주도주 : 팬젠, 파멥신, 알테오젠, 이수앱지스)
2023-11-23	내년 자체 개발 신약 글로벌 성과 도출 시기 분석 등에 상승(주도주 : 종근당, 보령, 한올바이오파마, 프레스티지바이오로직스)
2023-12-07	제약/바이오 업종 긍정적 분석 및 정부 투자 기대감 등에 상승(주도주 : 파멥신, 동아에스티, 한미약품, 선바이오)
2023-12-15	내년 美 금리 인하 기대감 속 바이오 중심 투자심리 회복 전망 등에 일부 관련주 상승(주도주 : LG화학, 팬젠)
2023-12-19	국내 신약 FDA 승인 및 JP모건 헬스케어 컨퍼런스 기대감 등에 상승(주도주 : 파멥신, 바이넥스, 보령, 이수앱지스)
2023-12-22	JP모건 헬스케어 컨퍼런스 기대감 지속 속 제약/바이오 업종 반등 본격화 분석 등에 상승(주도주 : 한올바이오파마, 동아에스티, 보령, 프레스티지바이오로직스)
2023-12-26	금리 인하 수혜 및 JP모건 헬스케어 콘퍼런스 기대감 지속, 레고켐바이오 LCB84 기술이전 계약 체결, 셀트리온 유플라이마(CT-P17, 휴미라 바이오시밀러) 상호교환성 임상 3상서 동등성 및 안전성 확인 소식 등에 상승(주도주 : 파멥신, 알테오젠, 한미약품, 선바이오)
2023-12-27	금리 인하 수혜 및 JP모건 헬스케어 컨퍼런스 기대감 지속, 빅파마의 바이오텍 인수딜 기대감 등에 상승(주도주 : 한올바이오파마, 알테오젠, 종근당, 에이프로젠)
2024-01-02	실적 개선 전망 및 JP모건 헬스케어 컨퍼런스 기대감 지속 등에 상승(주도주 : 셀트리온제약, 셀트리온, 프레스티지바이오로직스, 에이프로젠, 바이넥스)
2024-01-09	JP모건 헬스케어 컨퍼런스 기대감 및 MIT-브로드연구소, 유전자가위 기술 이용 실명 쥐 시력 회복 성공 소식 등에 상승(주도주 : 에이프로젠, 알테오젠, 에이프로젠바이오로직스, 녹십자)
2024-01-22	바이오시밀러 2nd wave 도래에 따른 침투율 확대 전망 등에 상승(주도주 : 셀트리온제약, 셀트리온, 삼성바이오로직스, 한미약품)
2024-01-29	美, 中 바이오 기업 규제 반사이익 기대감 등에 일부 관련주 상승(주도주 : 바이넥스, 삼성바이오로직스, 프레스티지바이오로직스, LG화학)
2024-02-23	모더나 주가 급등, 노보 노디스크 지난해 4분기 제약계 최대 수익 창출사 등극, 알테오젠 MSD와 독점 계약 모멘텀 지속 등에 상승(주도주 : 알테오젠, 삼천당제약, 셀트리온제약)
2024-03-06	美 AACR 기대감 지속 등에 상승(주도주 : 셀트리온제약, 이수앱지스, 녹십자, 동아에스티, 보령)
2024-03-07	美 AACR 기대감 지속 등에 일부 관련주 상승(주도주 : 에이프로젠바이오로직스, 동아에스티, 팬젠, 에이프로젠)
2024-03-08	4월 美 미국암학회(AACR) 기대감 지속 등에 상승(주도주 : 바이넥스, 프레스티지바이오로직스, 에이프로젠바이오로직스, 에이프로젠, 한올바이오파마)
2024-03-11	업황 투자 심리 개선 기대감 지속 등에 상승(주도주 : 에이프로젠, 바이넥스, 한올바이오파마, 에이프로젠바이오로직스)
2024-03-18	美·中 바이오 패권 전쟁에 따른 반사이익 기대감 지속 등에 상승(주도주 : 삼천당제약, 에이프로젠바이오로직스, 바이넥스, 프레스티지바이오로직스, 대웅제약)
2024-03-25	삼성바이오, 신약 개발 추진 및 삼천당제약, 아일리아 바이오시밀러 유럽 9개국 독점 공급 계약 소식 등에 상승(주도주 : 삼천당제약, 한올바이오파마, 대웅제약, 알테오젠)
2024-04-02	美 6월 금리인하 기대감 후퇴 속 박셀바이오, 간세포암 임상서 미승인 약 투여에 따른 식약처 임상 일시정지 처분 소식 등에 하락
2024-04-23	국내 유망 바이오 기업 가치 레벨업 전망 및 M&A 활성화 기대감 등에 상승(주도주 : 에이프로젠바이오로직스, 알테오젠, 바이넥스, 이수앱지스)
2024-05-16	美 대중 제재 가시화 및 금리 인하 기대감 등에 상승(주도주 : 한올바이오파마, 바이넥스, 셀트리온제약, 알테오젠)
2024-05-28	美 ASCO 등 제약·바이오 학회 기대감 속 상승(주도주 : 프레스티지바이오로직스, 팬젠)
2024-06-03	ASCO 등 글로벌 제약·바이오 학회 기대감 및 지놈앤컴퍼니, 스위스 제약사와 기술이전 계약 소식 등에 상승(주도주 : 알테오젠, 프레스티지바이오파마, 한올바이오파마, 바이넥스)
2024-06-04	글로벌 금리인하 기대감 확대 및 K-항암 신약 성과 도출 기대감 등에 상승(주도주 : 알테오젠, 셀트리온, 바이넥스, 동아에스티)
2024-06-07	임상/신약 승인 모멘텀 및 美 바이오 보안법 수혜 기대감 등에 상승(주도주 : 에이프로젠, 알테오젠, 바이넥스, 에이프로젠바이오로직스)
2024-06-13	美 생물보안법 연내 통과 가능성 높다는 분석 속 일부 관련주 상승(주도주 : 바이넥스, 한올바이오파마)
2024-07-05	美 생물보안법 강화 전망 및 트럼프 당선 수혜, 국내 바이오 기업 호재 지속 등에 상승(주도주 : 바이넥스, 알테오젠, 에이프로젠, 삼천당제약)
2024-07-12	美 금리 인하 기대감 속 하반기 주요 이벤트 기대감 등에 상승(주도주 : 한올바이오파마, 에이프로젠, 동아에스티, 종근당)
2024-07-24	美, 제약사 '특허 남용' 제한 법안 통과 소식 속 바이오시밀러 보유 국내 제약사 반사이익 기대감 등에 상승(주도주 : 대웅제약, 알테오젠, 에이프로젠, 이수앱지스, 삼성바이오로직스, 에이프로젠바이오로직스)
2024-08-06	글로벌 금리 인하 및 G2 분쟁 수혜 전망 등에 상승(주도주 : 종근당, 바이넥스, 녹십자, 알테오젠, LG화학)
2024-08-07	금리인하 전망 속 신약개발 성과, 실적 성장 기대감 등에 상승(주도주 : 바이넥스, 한올바이오파마, 대웅제약, 보령)
2024-08-26	美 생물보안법 통과 기대감, 금리 인하 기대감 지속 및 유럽종양학회 기대감 등에 일부 관련주 상승(주도주 : 프레스티지바이오파마, 프레스티지바이오로직스, 한올바이오파마, 녹십자)
2024-08-28	美 생물보안법 통과 및 금리 인하 기대감 지속, 유한양행 렉라자 美 FDA 승인 모멘텀 지속 등 바이오 업종 투자심리 개선 등에 상승(주도주 : 종근당, 대웅제약, 보령, 선바이오, 삼성바이오로직스)
2024-09-10	생물보안법, 美하원 통과 소식에 일부 관련주 상승(주도주 : 녹십자, 삼성바이오로직스, 종근당, 한미약품)
2024-09-19	美 빅컷 단행 및 생물보안법 수혜 기대감 지속 등에 상승(주도주 : 바이넥스, 알테오젠, 삼성바이오로직스)
2024-09-20	美 금리인하에 따른 글로벌 바이오 M&A 기대감 및 국민연금, 제약바이오 투자 확대 소식 등에 상승(주도주 : 보령, 프레스티지바이오로직스)
2024-09-26	美 생물보안법 관련 오보(우시 바이오 제외) 소동 속 수혜 기대감 지속 등에 상승(주도주 : 삼천당제약, 에이프로젠, 에이프로젠바이오로직스, 한미약품)
2024-10-04	K-제약·바이오, 유럽 CPHI 참가 기대감 등에 상승(주도주 : 팬젠, 프레스티지바이오로직스, 알테오젠, 바이넥스)
2024-10-11	주요 제약/바이오 업체 실적 개선 기대감 등에 상승(주도주 : 동아에스티, 대웅제약, 삼천당제약, 프레스티지바이오로직스, 알테오젠)
2024-11-04	내달 국가바이오위원회 출범 및 美 생물보안법 수혜 기대감 지속 등에 상승(주도주 : 한미약품, 알테오젠, 녹십자, 에이프로젠, 한올바이오파마)
2024-11-06	금리인하 수혜 및 신약 성과 등에 따른 실적 개선 기대감 등에 일부 관련주 상승(주도주 : 바이넥스, 대웅제약, 한올바이오파마, 한미약품)
2024-11-18	백신 음모론자 로버트 케네디 주니어, 보건복지부 장관 지명에 따른 美 제약/바이오 관련주 약세 영향 등에 하락
2024-11-25	실적 성장 흐름 지속 전망 및 신약개발 기대감 등에 상승(주도주 : 알테오젠, 바이넥스, 팬젠, 에이프로젠바이오로직스)
2024-11-28	美 생물보안법 통과 기대감 지속 및 한국은행 예상밖 금리인하 소식 등에 상승(주도주 : 셀트리온제약, 바이넥스, 한올바이오파마, 녹십자)
2024-12-12	실적 성장 및 R&D 모멘텀에 따른 내년 벨류에이션 리레이팅 전망 등에 상승(주도주 : 바이넥스, 녹십자, 에이프로젠, 팬젠)
2024-12-16	美 생물보안법 연내 통과 기대감 등에 상승(주도주 : 팬젠, 프레스티지바이오파마, 프레스티지바이오로직스, 셀트리온제약, 동아에스티)
2024-12-19	美 Fed 금리인하 속도 조절 시사 등에 하락
2024-12-24	JPM 헬스케어 컨퍼런스, 트럼프 취임 기대감 등에 일부 관련주 상승(주도주 : 알테오젠, 녹십자, 보령, 한올바이오파마)
2024-12-30	내년 바이오헬스 제품화 규제 지원 사업 및 첨생법 시행 기대감 등에 상승(주도주 : 한올바이오파마, 프레스티지바이오로직스, 바이넥스, 프레스티지바이오파마, 녹십자)
2025-01-07	JP모건 헬스케어 콘퍼런스 개최 앞두고 상승(주도주 : 바이넥스, 삼성바이오로직스, 알테오젠, 한올바이오파마)
2025-02-12	美 금리인하 속도 조절 전망 등에 하락
2025-02-19	트럼프, 의약품 관세 25% 이상 추진 소식 등에 일부 관련주 하락
2025-03-18	국내 바이오제약 산업 성장 국면 재진입 분석 등에 상승(주도주 : 에이프로젠, 에이프로젠바이오로직스, 이수앱지스, 녹십자)
2025-03-21	HLB 간암 1차 치료제 美 FDA 승인 재차 불발 속 바이오 투자심리 위축 등에 하락
